basis,layer,n,best_model_excess_mean,best_model_excess_std,best_op_excess_mean,best_op_excess_std,best_op_signal_error_mean,best_op_signal_error_std,best_rank_mean,best_rank_std,candidate_dim_mean,candidate_dim_std,layer_mean,layer_std,model_excess_at_oracle_mean,model_excess_at_oracle_std,model_excess_at_strict_mean,model_excess_at_strict_std,op_excess_at_oracle_mean,op_excess_at_oracle_std,op_excess_at_strict_mean,op_excess_at_strict_std,op_signal_error_at_oracle_mean,op_signal_error_at_oracle_std,op_signal_error_at_strict_mean,op_signal_error_at_strict_std,r_eff_T_task_mean,r_eff_T_task_std,r_eff_T_task_strict_mean,r_eff_T_task_strict_std,rank_at_oracle_mean,rank_at_oracle_std,rank_at_strict_mean,rank_at_strict_std,rank_to_alpha_mean,rank_to_alpha_std,reach_alpha_mean,reach_alpha_std
combined,0,8,0.020530581720770727,0.0020201325865945277,5.1880601285198435e-05,1.1467227683308482e-05,0.0014135969805732329,0.00017269662534928263,64.0,0.0,128.0,0.0,0.0,0.0,0.0719274772070314,0.005290173492767408,0.023338454067223974,0.00205416137919115,0.047777375155205096,0.0019546740693829694,0.002261429350820799,0.0002632238368181364,0.043109742907350805,0.0025110241146130206,0.009342487669756018,0.00018049054990152154,24.75,1.4880476182856899,47.125,0.8345229603962802,24.75,1.4880476182856899,47.125,0.8345229603962802,24.75,1.4880476182856899,1.0,0.0
combined,1,8,0.020530581720771386,0.0020201325865933243,5.188060128519843e-05,1.1467227683308473e-05,0.0014135969805732329,0.0001726966253492825,64.0,0.0,128.0,0.0,1.0,0.0,0.07192747720703108,0.005290173492767516,0.023338454067224852,0.0020541613791919826,0.0477773751552051,0.001954674069382971,0.002261429350820799,0.00026322383681813685,0.043109742907350805,0.0025110241146130224,0.009342487669756018,0.0001804905499015218,24.75,1.4880476182856899,47.125,0.8345229603962802,24.75,1.4880476182856899,47.125,0.8345229603962802,24.75,1.4880476182856899,1.0,0.0
combined,2,8,0.02053058172077073,0.0020201325865934297,5.188060128519843e-05,1.1467227683308488e-05,0.0014135969805732329,0.0001726966253492828,64.0,0.0,128.0,0.0,2.0,0.0,0.07192747720703169,0.0052901734927678825,0.02333845406722452,0.0020541613791913546,0.047777375155205096,0.001954674069382969,0.002261429350820799,0.00026322383681813663,0.043109742907350805,0.0025110241146130224,0.009342487669756018,0.000180490549901522,24.75,1.4880476182856899,47.125,0.8345229603962802,24.75,1.4880476182856899,47.125,0.8345229603962802,24.75,1.4880476182856899,1.0,0.0
combined,3,8,0.02053058172077095,0.0020201325865943152,5.188060128519843e-05,1.1467227683308458e-05,0.0014135969805732329,0.00017269662534928238,64.0,0.0,128.0,0.0,3.0,0.0,0.07192747720703083,0.005290173492767241,0.023338454067224575,0.002054161379192017,0.04777737515520511,0.0019546740693829694,0.002261429350820799,0.0002632238368181365,0.04310974290735081,0.002511024114613023,0.009342487669756018,0.00018049054990152216,24.75,1.4880476182856899,47.125,0.8345229603962802,24.75,1.4880476182856899,47.125,0.8345229603962802,24.75,1.4880476182856899,1.0,0.0
combined,4,8,0.020530581720771122,0.002020132586593175,5.188060128519843e-05,1.1467227683308448e-05,0.001413596980573233,0.00017269662534928222,64.0,0.0,128.0,0.0,4.0,0.0,0.0719274772070313,0.005290173492767454,0.023338454067224824,0.00205416137919228,0.047777375155205096,0.0019546740693829703,0.002261429350820799,0.0002632238368181366,0.043109742907350805,0.0025110241146130224,0.009342487669756018,0.00018049054990152216,24.75,1.4880476182856899,47.125,0.8345229603962802,24.75,1.4880476182856899,47.125,0.8345229603962802,24.75,1.4880476182856899,1.0,0.0
combined,5,8,0.020530581720771737,0.002020132586593676,5.188060128519843e-05,1.1467227683308465e-05,0.0014135969805732329,0.00017269662534928222,64.0,0.0,128.0,0.0,5.0,0.0,0.0719274772070311,0.0052901734927676605,0.023338454067224238,0.002054161379191695,0.047777375155205096,0.0019546740693829677,0.002261429350820799,0.0002632238368181369,0.043109742907350805,0.0025110241146130232,0.009342487669756018,0.00018049054990152186,24.75,1.4880476182856899,47.125,0.8345229603962802,24.75,1.4880476182856899,47.125,0.8345229603962802,24.75,1.4880476182856899,1.0,0.0
combined,6,8,0.020530581720771664,0.0020201325865933342,5.188060128519842e-05,1.1467227683308488e-05,0.0014135969805732329,0.0001726966253492825,64.0,0.0,128.0,0.0,6.0,0.0,0.07192747720703134,0.005290173492767187,0.02333845406722465,0.0020541613791913845,0.047777375155205096,0.00195467406938297,0.002261429350820799,0.00026322383681813663,0.04310974290735081,0.0025110241146130232,0.009342487669756018,0.00018049054990152194,24.75,1.4880476182856899,47.125,0.8345229603962802,24.75,1.4880476182856899,47.125,0.8345229603962802,24.75,1.4880476182856899,1.0,0.0
combined,7,8,0.020530581720771157,0.0020201325865928012,5.188060128519842e-05,1.1467227683308478e-05,0.0014135969805732329,0.00017269662534928254,64.0,0.0,128.0,0.0,7.0,0.0,0.07192747720703127,0.00529017349276772,0.02333845406722468,0.0020541613791924735,0.0477773751552051,0.001954674069382966,0.002261429350820799,0.0002632238368181368,0.04310974290735081,0.0025110241146130215,0.009342487669756018,0.0001804905499015215,24.75,1.4880476182856899,47.125,0.8345229603962802,24.75,1.4880476182856899,47.125,0.8345229603962802,24.75,1.4880476182856899,1.0,0.0
combined,8,8,0.020530581720770314,0.002020132586592246,5.188060128519843e-05,1.1467227683308443e-05,0.0014135969805732329,0.00017269662534928206,64.0,0.0,128.0,0.0,8.0,0.0,0.0719274772070312,0.005290173492767806,0.023338454067225074,0.0020541613791908078,0.0477773751552051,0.0019546740693829664,0.0022614293508207996,0.0002632238368181367,0.04310974290735081,0.0025110241146130206,0.009342487669756018,0.00018049054990152183,24.75,1.4880476182856899,47.125,0.8345229603962802,24.75,1.4880476182856899,47.125,0.8345229603962802,24.75,1.4880476182856899,1.0,0.0
raw,0,8,0.020530581720769034,0.002020132586594308,5.188060128519842e-05,1.1467227683308458e-05,0.0014135969805732329,0.00017269662534928227,64.0,0.0,128.0,0.0,0.0,0.0,0.07192747720703135,0.005290173492767534,0.023338454067225626,0.0020541613791918815,0.047777375155205096,0.0019546740693829677,0.002261429350820799,0.00026322383681813685,0.04310974290735081,0.0025110241146130215,0.009342487669756018,0.0001804905499015218,24.75,1.4880476182856899,47.125,0.8345229603962802,24.75,1.4880476182856899,47.125,0.8345229603962802,24.75,1.4880476182856899,1.0,0.0
